Gene1,Gene2,Label
LOC115489417,5830411N06Rik,WT_specific
Gm31606,Dock11,WT_specific
Ocm,Gm13770,AD_specific
Zc3hav1,Tbck,AD_specific
Mdga2,Cd55,WT_specific
Ubxn2a,Dusp22,AD_specific
Trappc9,Nhsl1,Shared
Tbc1d23,Adi1,AD_specific
Mob4,Emsy,AD_specific
Pde4d,Lzts3,Shared
Plp1,Gpc4,Shared
Gm5796,Gm3636,WT_specific
Serac1,Armc2,WT_specific
Zfp839,Maml2,Shared
Zfp488,Grk1,Shared
Kcnc1,Gm46345,WT_specific
Trim43c,Shank3,AD_specific
Plp1,Filip1,AD_specific
Ppp4r1,Mre11a,WT_specific
Stoml3,Dnm3,WT_specific
Slc38a6,F2,WT_specific
Ubap1l,Gas8,AD_specific
Me2,Kcnd2,AD_specific
LOC118568632,LOC118568306,AD_specific
Vmn2r1,Trat1,WT_specific
Zfp939,Gm2115,WT_specific
Grik5,Abt1,WT_specific
Ms4a12,Khdrbs2,Shared
Slc12a8,Ppm1h,Shared
Snai2,Phf21a,WT_specific
Cryzl2,Clec16a,AD_specific
Kcnip4,Ecpas,WT_specific
Efhc2,Cyp3a13,AD_specific
Skint4,C2cd2,WT_specific
Map3k6,Ap4s1,AD_specific
Nkain3,N4bp1,WT_specific
Obi1,Nufip2,WT_specific
Plxdc2,Lrrtm4,Shared
Rimbp2,Dgki,WT_specific
Ifnar2,Gm10015,AD_specific
Sntb1,Pirt,WT_specific
Pabpc1l,Fam169a,AD_specific
Gm40353,Fnip2,WT_specific
Nrp2,Ikzf4,Shared
Isg20l2,Fxn,AD_specific
Zfp169,Tacr1,AD_specific
Kcnj15,Hspa12a,AD_specific
Tcf7l1,Nup50,WT_specific
Zfp536,Adamts7,AD_specific
Gm21162,Gm17027,AD_specific
Lrrc7,Bicral,AD_specific
H2-T23,4930430F08Rik,AD_specific
Gm45871,Acbd6,WT_specific
Syt11,Rex2,AD_specific
Sfi1,Ankrd65,AD_specific
Tmco3,Poglut3,WT_specific
Zdhhc9,Pycr1,WT_specific
Rabgap1l,Jmjd1c,WT_specific
Zfyve28,Tuba1b,WT_specific
Vmn2r61,Vmn2r59,WT_specific
Stox2,Lman2l,WT_specific
Tcf4,Fam160b2,WT_specific
Sned1,Akna,WT_specific
Rab2a,Gpbp1,AD_specific
Kcnh7,Itgb1bp2,Shared
Synrg,4930579G24Rik,WT_specific
Dnase1l3,Adamts14,WT_specific
Sntb1,Alk,WT_specific
Tox3,Gpr174,Shared
Smg5,Cers6,WT_specific
Hs2st1,Emsy,AD_specific
Lcp2,Fgf13,WT_specific
Pafah2,Igsf10,WT_specific
Tigit,Gm46345,AD_specific
Gm8020,Gm21154,Shared
Mylk4,Hip1,AD_specific
Gm2004,Gm14296,WT_specific
Zfp948,Rnf125,AD_specific
Pld5,D17H6S56E-5,WT_specific
LOC118568255,3300002I08Rik,AD_specific
Lrrc4c,Cracr2a,Shared
Zfp277,Gm10015,WT_specific
Trim63,Map2,AD_specific
Hyal3,Arglu1,AD_specific
Slc22a13,Dlg1,AD_specific
Sec24d,Mgat3,AD_specific
Zfp950,Mfsd4a,Shared
Rab30,Ap3b1,AD_specific
Zfp970,Gm14326,WT_specific
Zdhhc8,Grk4,WT_specific
Zfp780b,Sirt5,WT_specific
Ppp2r2b,Dcdc2c,WT_specific
Trim69,Patl2,AD_specific
Tlr7,Arhgap39,WT_specific
Stxbp5l,Kcnk12,WT_specific
Npas3,Baalc,WT_specific
Trappc9,C4b,AD_specific
Tgfbr1,Kcnip4,Shared
Mpp7,Kcng3,WT_specific
Rbm28,Aktip,WT_specific
Supt7l,Slc38a6,AD_specific
Npr3,LOC118568662,WT_specific
Tenm3,Dis3l,WT_specific
Zrsr2,Gm5785,WT_specific
Prr14,Poglut3,AD_specific
Mucl3,Cert1,AD_specific
Map3k11,Gm10408,AD_specific
Morn1,Alx4,AD_specific
Zfp516,Rnft2,WT_specific
Gm10015,Cd200r2,AD_specific
Strbp,Fam124a,AD_specific
Naaladl1,Mrpl14,WT_specific
Tmco1,Ralgapa2,AD_specific
Syn3,Galk2,WT_specific
Tshz2,Adamts7,WT_specific
Pyroxd1,Cxcr2,AD_specific
Tex47,Mob3b,WT_specific
Washc4,Csnk2a1,Shared
Rbm12b2,Nhsl1,WT_specific
Gm4724,Gm14393,Shared
Ndufaf6,Chrna1,AD_specific
Rab30,Hnrnpd,Shared
Trim67,Hoxc9,WT_specific
Lrrc61,Gm29776,WT_specific
Tigd3,Gpr35,AD_specific
Ifi44,Gm15104,WT_specific
Rasa4,Fnip2,AD_specific
Xcr1,Gmeb1,WT_specific
Tpm3,Klhl35,AD_specific
Inpp1,Gpc4,WT_specific
Slc29a3,Cntnap5c,AD_specific
Trmt13,Prkag3,AD_specific
Nipal4,Lingo2,WT_specific
Kcnab2,App,WT_specific
Zmat2,Hspb2,WT_specific
Grk4,Fam172a,AD_specific
Ttf1,Agl,Shared
Tspear,Apol7e,AD_specific
St3gal2,Armc7,AD_specific
Rab7,Coq3,AD_specific
Exoc6b,Arhgap20,AD_specific
Plcb1,Gramd1b,WT_specific
Trim58,Stx18,WT_specific
Slc10a7,Nav3,AD_specific
Prr14,Abcg2,Shared
Mga,Focad,WT_specific
Wipf2,Hoxc9,Shared
Pigq,Fam169a,WT_specific
Ermard,9930021J03Rik,AD_specific
Frmd4a,Fgf11,WT_specific
Zfp729a,Cyp3a13,AD_specific
Lnx1,Colec12,Shared
Esrrg,Akt3,WT_specific
Zbtb25,Tor4a,AD_specific
Trim12c,Tanc2,WT_specific
Nwd2,Dgkz,WT_specific
Tox3,Khdrbs2,Shared
Zscan2,Zbtb37,WT_specific
Tmem45b,Abhd6,WT_specific
Slc38a6,Comt,AD_specific
Stox2,Acbd6,Shared
Uevld,Tln2,AD_specific
Gm7206,Gm38574,WT_specific
Tln2,Mcmdc2,AD_specific
Mmaa,Cdkl1,AD_specific
Fam76b,Dynlt1a,WT_specific
Psma3,Adat1,AD_specific
