PPP2R1B,ODF2L,shared
ENTPD1,DZIP3,shared
GRIN2C,GPR161,iPRINT_B
UBE2E2,DTNB,shared
SLC16A7,DTNB,shared
ATRN,ABCC9,shared
ATF1,ABCC9,shared
XAF1,CPLANE1,shared
SHISA9,ABCA9,shared
ZNF589,SLC35F5,shared
7-Sep,PSPH,shared
PDE12,PARP15,shared
TOR1AIP2,PPP2R1B,shared
PTPRJ,ABCC9,shared
MEGF11,CLSPN,shared
ZNF66,CDYL,shared
LPAR6,ESR1,shared
ZNF66,SLC38A1,shared
TRMT9B,ODF2L,iPRINT_A
TUBD1,GREB1,shared
PJVK,NUDC,shared
METTL22,KLRD1,shared
TOR1AIP2,ACBD7,shared
SUPT20HL2,SHISA9,shared
EPPIN,CTSC,shared
SEC14L4,PCM1,iPRINT_A
TP63,SLC37A2,shared
ZNF124,ODF2L,shared
SUOX,CES3,shared
SCML4,ARHGAP26,iPRINT_B
TMEM212,GSG1,shared
XRCC2,RIC3,shared
TOR1AIP2,FGF5,shared
TSPAN6,TOR1AIP2,shared
CEP57L1,BCL10,iPRINT_B
PARP15,CCDC144A,shared
HS6ST3,ENOX1,shared
L2HGDH,FNIP2,shared
TG,MCFD2,shared
PARP15,NRXN1,shared
ZNF589,LOC112267922,shared
TRMT9B,PTPRJ,shared
XAF1,CRIPT,shared
LOC105374103,LOC105373926,shared
KMT2C,CEP57L1,iPRINT_B
ZNF320,FCAR,shared
TRMT2B,AKAP9,iPRINT_C
USP6NL,C8orf33,shared
ZNF888,SYN3,shared
LOC105377310,ERVW-1,shared
TMEM241,LPP,shared
LOC100130451,ADAM20,shared
FAAH2,F5,shared
CES3,CCDC92,shared
RBMS2,EPB41,shared
XKR9,TMEM212,shared
UBE2E2,FNIP2,shared
FBXO17,CLEC2D,shared
TFDP2,ATM,iPRINT_B
MCFD2,CD70,shared
UGT8,CFLAR,shared
WDPCP,CFLAR,shared
TFDP2,AFAP1L1,iPRINT_B
RTKN2,CAMK2G,iPRINT_B
TFDP2,METTL21A,shared
CHURC1,ABCC9,shared
PLEKHA2,AK3,shared
RPH3AL,IKZF3,iPRINT_B
WDPCP,GLIPR1L2,shared
TOR1AIP2,ARID4B,shared
LOC100652901,CTNNA3,shared
CFLAR,CCDC122,iPRINT_A
PUS7L,C3orf35,shared
CFLAR,C2orf91,shared
TMEM268,HAUS2,iPRINT_B
NBPF11,NBPF10,shared
MYEF2,EPB41,iPRINT_C
RBM6,MAP4,iPRINT_B
FAM153A,EPHA6,iPRINT_A
FAM86B1,ALG1,shared
KLRD1,EPPIN,shared
L2HGDH,HS6ST3,shared
SMPD1,APBB1,shared
NRXN1,LPP,shared
TEP1,EPB41,shared
PLEKHA1,ATXN3,iPRINT_A
SLC37A2,MAP3K7CL,shared
RECQL5,MYO15B,iPRINT_B
TRMT2B,CEBPZOS,shared
PARP15,CHURC1,shared
