Gene1,Gene2,In_OWT,In_AD,read count_WT,read count_AD,Label
Ttll9,Epb41l3,1,1,1,0,WT_specific
Zfp408,Cebpb,1,0,1,0,WT_specific
Ntrk3,Cntn3,1,0,1,0,WT_specific
Proca1,Mettl2,1,1,1,1,Shared
Btbd9,Acbd6,1,1,1,0,WT_specific
Zcchc13,Azin1,0,1,0,6,AD_specific
Mrpl27,Meis2,1,1,1,1,Shared
Loxl2,Jarid2,1,1,0,1,AD_specific
Rbm28,Abca6,1,1,2,0,WT_specific
Diaph3,Akap6,1,0,1,0,WT_specific
Nfix,Mafg,1,1,0,2,AD_specific
Rdh9,Cep162,1,1,1,3,Shared
Syt11,Atad2b,1,1,3,0,WT_specific
Zfp970,Adra1a,1,1,0,3,AD_specific
Lrp1b,Gm52229,1,1,0,6,AD_specific
Trim14,Rex2,1,1,1,0,WT_specific
Marchf1,Hoxc9,1,1,0,27,AD_specific
Pgpep1l,Eif2s3y,1,1,0,1,AD_specific
Slc16a6,Gm5954,1,1,1,0,WT_specific
Ripor2,Nsl1,1,1,0,1,AD_specific
Vmn1r95,Vmn1r148,1,1,3,0,WT_specific
Nup50,Mcm9,1,1,1,0,WT_specific
Plxdc2,Gm12569,1,1,0,1,AD_specific
Tmem88b,Aoc2,1,1,1,0,WT_specific
Pag1,Clca4b,0,1,0,14,AD_specific
Vmn1r58,Psg23,1,1,1,1,Shared
Spag1,Acmsd,1,1,0,1,AD_specific
Urod,Gcnt1,1,1,0,1,AD_specific
Rdh13,Rabgap1l,1,1,1,1,Shared
Adal,3300002I08Rik,1,1,75,140,Shared
Zfp202,Srbd1,1,1,1,0,WT_specific
Zfp467,Gsk3b,1,0,1,0,WT_specific
Sntb1,Fcamr,1,1,1,0,WT_specific
Ubxn4,Rint1,1,1,1,0,WT_specific
Psg23,Egflam,1,1,0,1,AD_specific
Tubd1,Sfpq,1,1,0,1,AD_specific
Tnks2,Cradd,1,1,0,1,AD_specific
Syt11,Arhgef37,1,1,0,15,AD_specific
BC049715,Auh,1,1,1,0,WT_specific
Tcf7l1,Mdc1,1,1,1,0,WT_specific
Npy1r,Mapk1,0,1,0,1,AD_specific
A1cf,4933434E20Rik,0,1,0,1,AD_specific
Gm3141,Gm10376,1,1,0,1,AD_specific
Washc4,Atxn3,1,1,1,0,WT_specific
